"","sample_id","t_initial","t_final","cfu_slope","cfu_intercept","cfu_initial","cfu_final","cfu_mean","pfu_slope","pfu_intercept","pfu_initial","pfu_final","V_T2_T1","replicate","filename","group","mutation_type","spi"
"28","13_6 Day 12 ev ",0,7,0.578919522,5.78612018,611111.1111,6895358207,64914020.17,0.556661258,4.893827632,78311.87671,617243373.3,617165061.4,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.000541685865859244
"29","14_1 Day 12 ev ",0,7,0.501752044,5.74533465,556332.7799,1809668218,31729761.28,0.522740096,4.877541452,75429.53876,344129672.4,344054242.8,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","large_deletion",0.00061779557166012
"30","14_1 Day 12 ev ",0,7,0.530247757,5.543157387,349266.866,1798422333,25062508.49,0.532955806,4.832922249,68064.74924,366111097.7,366043032.9,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000832132119779896
"31","14_1 Day 12 ev ",0,7,0.544056805,5.672672423,470622.2146,3027401777,37746026.66,0.410843551,5.49287883,311084.8278,233767258.8,233456174,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000352386124450295
"32","14_2 Day 12 ev ",0,7,0.501884594,5.724496574,530269.4091,1728577011,30275592.65,0.463585057,5.217822697,165128.7516,290347505.5,290182376.7,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","cas_mutation",0.000546088534014471
"33","14_2 Day 12 ev ",0,7,0.527020808,5.671566007,469424.7749,2294624682,32820019.42,0.546853844,5.049389377,112044.1992,753991208.5,753879164.3,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","cas_mutation",0.00130872254688016
"34","14_2 Day 12 ev ",0,7,0.576191899,5.58748566,386799.2831,4176658393,40193637.21,0.441296592,5.539080479,346003.4895,424772721.7,424426718.3,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","cas_mutation",0.000601630832776104
"35","14_2 Day 12 ev ",0,7,0.52737222,5.683793812,482829.5164,2373555293,33852954.89,0.486199255,5.597204675,395552.9926,1001381263,1000985710,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","cas_mutation",0.00168467438606155
"36","14_2 Day 12 ev ",0,7,0.541675228,5.527048532,336549.1764,2083411828,26479624.9,0.498600488,5.373107389,236106.1989,729979736.5,729743630.3,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","cas_mutation",0.00157015729725304
"37","14_2 Day 12 ev ",0,7,0.541675228,5.527048532,336549.1764,2083411828,26479624.9,0.498600488,5.373107389,236106.1989,729979736.5,729743630.3,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","cas_mutation",0.00157015729725304
"38","14_2 Day 12 ev ",0,5,0.524450578,5.502617155,318139.178,133312245.2,6512437.953,0.584863719,5.072040239,118043.0001,99165094.9,99047051.9,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","cas_mutation",0.00121313928961367
"39","14_2 Day 12 ev ",0,7,0.496783677,5.749958238,562287.2525,1688278071,30810667.6,0.487457551,5.373598199,236373.1808,610662221.7,610425848.5,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","cas_mutation",0.0011287986587838
"40","14_3 Day 12 ev ",0,7,0.541414358,5.6046118,402357.2206,2480346230,31590904,0.506000086,5.053628289,113143.156,394120381,394007237.8,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000710602651725897
"41","14_3 Day 12 ev ",0,7,0.515743945,5.648210385,444846.7118,1813084302,28399728.69,0.529060345,4.906983007,80720.34446,407760755.1,407680034.7,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000817880643393088
"42","14_3 Day 12 ev ",0,7,0.547307444,5.766395423,583976.5701,3958653871,48080776.93,0.579061598,4.696539546,49720.96465,562303425.2,562253704.2,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000666262739775231
"43","14_4 Day 12 ev ",0,7,0.506821308,5.69561092,496147.629,1751298090,29477150.39,0.519085498,5.055210928,113556.2202,488437966.4,488324410.2,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","spacer_deletion",0.000943860072570322
"44","14_4 Day 12 ev ",0,7,0.534171138,5.572741879,373888.3037,2050878093,27691141.75,0.551540037,5.012283226,102868.6939,746557886.8,746455018.1,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","spacer_deletion",0.0015358452433348
"45","14_4 Day 12 ev ",0,7,0.536550172,5.752730282,565887.7355,3225384449,42722423.88,0.604649708,4.775227641,59597.44488,1018065202,1018005604,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","spacer_deletion",0.00135762229660118
"46","14_5 Day 12 ev ",0,7,0.483964286,5.624676981,421382.9714,1029027504,20823416.33,0.545084057,4.802119107,63404.35759,414674669.7,414611265.3,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","spacer_mutation",0.00113441978852112
"47","14_5 Day 12 ev ",0,7,0.493996004,5.750178109,562571.9948,1614916746,30141448.79,0.551264318,5.056097064,113788.1571,822142858.3,822029070.1,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","spacer_mutation",0.00155384512829673
"48","14_5 Day 12 ev ",0,7,0.523513071,5.757828966,572570.4969,2644968250,38915688.16,0.621786495,4.697536469,49835.23018,1122126789,1122076954,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","spacer_mutation",0.00164279210029252
"49","14_5 Day 12 ev ",0,7,0.537971394,5.731866719,539345.0774,3145331905,41187610.76,0.493690908,5.620077743,416944.0141,1191006412,1190589468,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","spacer_mutation",0.00164694886184752
